seed,episode,return
0,0,-103
0,1,-108
0,2,-105
0,3,-101
0,4,-104
0,5,-112
0,6,-113
0,7,-107
0,8,-110
0,9,-121
0,10,-15
0,11,-113
0,12,-112
0,13,-103
0,14,-9
0,15,-108
0,16,-115
0,17,-104
0,18,-113
0,19,-11
0,20,-108
0,21,-8
0,22,-114
0,23,-108
0,24,-105
0,25,-112
0,26,-10
0,27,-9
0,28,-101
0,29,-108
0,30,-105
0,31,-111
0,32,-7
0,33,-7
0,34,-116
0,35,-7
0,36,-9
0,37,-101
0,38,-106
0,39,-104
0,40,-15
0,41,-6
0,42,-101
0,43,-108
0,44,-7
0,45,-7
0,46,-6
0,47,-14
0,48,-6
0,49,-106
0,50,-7
0,51,-100
0,52,-7
0,53,-6
0,54,-9
0,55,-6
0,56,-10
0,57,-9
0,58,-8
0,59,-105
0,60,-6
0,61,-12
0,62,-6
0,63,-8
0,64,-6
0,65,-103
0,66,-102
0,67,-102
0,68,-6
0,69,-6
0,70,-8
0,71,-6
0,72,-105
0,73,-6
0,74,-9
0,75,-21
0,76,-8
0,77,-6
0,78,-6
0,79,-6
0,80,-10
0,81,-6
0,82,-105
0,83,-8
0,84,-6
0,85,-103
0,86,-6
0,87,-100
0,88,-8
0,89,-6
0,90,-103
0,91,-103
0,92,-7
0,93,-7
0,94,-6
0,95,-130
0,96,-8
0,97,-6
0,98,-11
0,99,-8
0,100,-6
0,101,-7
0,102,-6
0,103,-6
0,104,-7
0,105,-6
0,106,-7
0,107,-7
0,108,-6
0,109,-6
0,110,-7
0,111,-6
0,112,-6
0,113,-6
0,114,-6
0,115,-6
0,116,-6
0,117,-6
0,118,-6
0,119,-6
1,0,-105
1,1,-101
1,2,-117
1,3,-100
1,4,-107
1,5,-113
1,6,-12
1,7,-111
1,8,-111
1,9,-109
1,10,-104
1,11,-128
1,12,-6
1,13,-108
1,14,-115
1,15,-101
1,16,-19
1,17,-106
1,18,-101
1,19,-26
1,20,-11
1,21,-100
1,22,-114
1,23,-11
1,24,-12
1,25,-107
1,26,-102
1,27,-6
1,28,-9
1,29,-104
1,30,-10
1,31,-100
1,32,-106
1,33,-12
1,34,-6
1,35,-6
1,36,-13
1,37,-7
1,38,-8
1,39,-102
1,40,-105
1,41,-8
1,42,-108
1,43,-103
1,44,-106
1,45,-101
1,46,-7
1,47,-111
1,48,-103
1,49,-105
1,50,-107
1,51,-104
1,52,-8
1,53,-10
1,54,-8
1,55,-6
1,56,-6
1,57,-6
1,58,-106
1,59,-9
1,60,-8
1,61,-6
1,62,-6
1,63,-8
1,64,-14
1,65,-6
1,66,-7
1,67,-12
1,68,-7
1,69,-6
1,70,-6
1,71,-6
1,72,-7
1,73,-8
1,74,-7
1,75,-8
1,76,-6
1,77,-8
1,78,-6
1,79,-8
1,80,-8
1,81,-8
1,82,-6
1,83,-7
1,84,-103
1,85,-7
1,86,-6
1,87,-6
1,88,-6
1,89,-6
1,90,-105
1,91,-7
1,92,-8
1,93,-6
1,94,-7
1,95,-8
1,96,-8
1,97,-8
1,98,-6
1,99,-6
1,100,-6
1,101,-8
1,102,-101
1,103,-7
1,104,-6
1,105,-6
1,106,-6
1,107,-6
1,108,-107
1,109,-7
1,110,-6
1,111,-6
1,112,-6
1,113,-104
1,114,-6
1,115,-6
1,116,-6
1,117,-103
1,118,-6
1,119,-8
2,0,-105
2,1,-100
2,2,-112
2,3,-107
2,4,-104
2,5,-115
2,6,-20
2,7,-102
2,8,-103
2,9,-114
2,10,-10
2,11,-22
2,12,-19
2,13,-104
2,14,-109
2,15,-103
2,16,-108
2,17,-112
2,18,-107
2,19,-122
2,20,-107
2,21,-108
2,22,-8
2,23,-12
2,24,-108
2,25,-24
2,26,-10
2,27,-13
2,28,-100
2,29,-12
2,30,-104
2,31,-106
2,32,-100
2,33,-9
2,34,-6
2,35,-6
2,36,-14
2,37,-107
2,38,-10
2,39,-103
2,40,-6
2,41,-112
2,42,-9
2,43,-8
2,44,-8
2,45,-102
2,46,-117
2,47,-7
2,48,-9
2,49,-12
2,50,-8
2,51,-104
2,52,-7
2,53,-13
2,54,-14
2,55,-105
2,56,-9
2,57,-103
2,58,-8
2,59,-8
2,60,-6
2,61,-11
2,62,-6
2,63,-6
2,64,-6
2,65,-6
2,66,-104
2,67,-6
2,68,-6
2,69,-12
2,70,-8
2,71,-6
2,72,-8
2,73,-10
2,74,-6
2,75,-6
2,76,-6
2,77,-10
2,78,-9
2,79,-105
2,80,-6
2,81,-6
2,82,-100
2,83,-9
2,84,-11
2,85,-101
2,86,-101
2,87,-6
2,88,-9
2,89,-9
2,90,-11
2,91,-100
2,92,-6
2,93,-6
2,94,-6
2,95,-6
2,96,-6
2,97,-6
2,98,-12
2,99,-6
2,100,-105
2,101,-6
2,102,-6
2,103,-6
2,104,-6
2,105,-6
2,106,-9
2,107,-6
2,108,-6
2,109,-7
2,110,-12
2,111,-8
2,112,-8
2,113,-6
2,114,-6
2,115,-6
2,116,-6
2,117,-8
2,118,-8
2,119,-6
3,0,-112
3,1,-112
3,2,-114
3,3,-105
3,4,-100
3,5,-118
3,6,-103
3,7,-109
3,8,-102
3,9,-111
3,10,-106
3,11,-126
3,12,-11
3,13,-103
3,14,-102
3,15,-105
3,16,-107
3,17,-115
3,18,-103
3,19,-11
3,20,-106
3,21,-106
3,22,-107
3,23,-7
3,24,-14
3,25,-6
3,26,-12
3,27,-7
3,28,-106
3,29,-9
3,30,-109
3,31,-103
3,32,-108
3,33,-19
3,34,-8
3,35,-11
3,36,-14
3,37,-101
3,38,-12
3,39,-105
3,40,-109
3,41,-6
3,42,-8
3,43,-100
3,44,-19
3,45,-7
3,46,-13
3,47,-16
3,48,-6
3,49,-6
3,50,-12
3,51,-102
3,52,-6
3,53,-7
3,54,-6
3,55,-6
3,56,-10
3,57,-6
3,58,-10
3,59,-105
3,60,-16
3,61,-8
3,62,-6
3,63,-104
3,64,-10
3,65,-7
3,66,-103
3,67,-101
3,68,-10
3,69,-6
3,70,-7
3,71,-13
3,72,-9
3,73,-6
3,74,-9
3,75,-6
3,76,-6
3,77,-6
3,78,-6
3,79,-6
3,80,-105
3,81,-6
3,82,-102
3,83,-10
3,84,-7
3,85,-102
3,86,-8
3,87,-7
3,88,-7
3,89,-105
3,90,-6
3,91,-9
3,92,-6
3,93,-6
3,94,-105
3,95,-6
3,96,-6
3,97,-6
3,98,-6
3,99,-6
3,100,-6
3,101,-7
3,102,-7
3,103,-6
3,104,-7
3,105,-6
3,106,-6
3,107,-6
3,108,-9
3,109,-6
3,110,-6
3,111,-6
3,112,-6
3,113,-8
3,114,-6
3,115,-6
3,116,-8
3,117,-6
3,118,-6
3,119,-6
4,0,-115
4,1,-102
4,2,-104
4,3,-100
4,4,-110
4,5,-109
4,6,-113
4,7,-112
4,8,-115
4,9,-18
4,10,-19
4,11,-15
4,12,-111
4,13,-108
4,14,-113
4,15,-104
4,16,-35
4,17,-9
4,18,-104
4,19,-8
4,20,-18
4,21,-102
4,22,-103
4,23,-13
4,24,-111
4,25,-7
4,26,-103
4,27,-105
4,28,-101
4,29,-16
4,30,-103
4,31,-7
4,32,-104
4,33,-10
4,34,-6
4,35,-7
4,36,-6
4,37,-9
4,38,-10
4,39,-102
4,40,-10
4,41,-108
4,42,-104
4,43,-101
4,44,-6
4,45,-104
4,46,-7
4,47,-11
4,48,-102
4,49,-100
4,50,-7
4,51,-6
4,52,-111
4,53,-8
4,54,-109
4,55,-107
4,56,-14
4,57,-8
4,58,-6
4,59,-8
4,60,-8
4,61,-9
4,62,-10
4,63,-11
4,64,-6
4,65,-8
4,66,-8
4,67,-6
4,68,-10
4,69,-6
4,70,-6
4,71,-6
4,72,-7
4,73,-6
4,74,-6
4,75,-7
4,76,-6
4,77,-7
4,78,-6
4,79,-10
4,80,-8
4,81,-6
4,82,-10
4,83,-6
4,84,-8
4,85,-7
4,86,-8
4,87,-6
4,88,-6
4,89,-7
4,90,-105
4,91,-6
4,92,-8
4,93,-9
4,94,-6
4,95,-6
4,96,-6
4,97,-7
4,98,-8
4,99,-6
4,100,-6
4,101,-6
4,102,-8
4,103,-8
4,104,-6
4,105,-7
4,106,-6
4,107,-6
4,108,-6
4,109,-6
4,110,-6
4,111,-8
4,112,-6
4,113,-6
4,114,-100
4,115,-6
4,116,-6
4,117,-8
4,118,-6
4,119,-6
5,0,-103
5,1,-111
5,2,-114
5,3,-100
5,4,-105
5,5,-114
5,6,-109
5,7,-106
5,8,-105
5,9,-119
5,10,-113
5,11,-112
5,12,-120
5,13,-12
5,14,-105
5,15,-106
5,16,-8
5,17,-111
5,18,-102
5,19,-32
5,20,-20
5,21,-100
5,22,-6
5,23,-11
5,24,-15
5,25,-7
5,26,-107
5,27,-16
5,28,-100
5,29,-12
5,30,-108
5,31,-103
5,32,-105
5,33,-14
5,34,-14
5,35,-8
5,36,-6
5,37,-106
5,38,-6
5,39,-11
5,40,-6
5,41,-6
5,42,-108
5,43,-8
5,44,-110
5,45,-6
5,46,-13
5,47,-10
5,48,-10
5,49,-6
5,50,-109
5,51,-11
5,52,-104
5,53,-16
5,54,-7
5,55,-6
5,56,-9
5,57,-9
5,58,-8
5,59,-108
5,60,-6
5,61,-6
5,62,-8
5,63,-9
5,64,-8
5,65,-10
5,66,-6
5,67,-106
5,68,-7
5,69,-9
5,70,-6
5,71,-11
5,72,-101
5,73,-101
5,74,-6
5,75,-10
5,76,-6
5,77,-6
5,78,-6
5,79,-8
5,80,-8
5,81,-6
5,82,-102
5,83,-14
5,84,-8
5,85,-100
5,86,-7
5,87,-101
5,88,-7
5,89,-6
5,90,-106
5,91,-8
5,92,-8
5,93,-6
5,94,-6
5,95,-8
