seed,episode,return
0,0,-104
0,1,-105
0,2,-118
0,3,-101
0,4,-106
0,5,-158
0,6,-104
0,7,-103
0,8,-110
0,9,-128
0,10,-107
0,11,-121
0,12,-126
0,13,-101
0,14,-110
0,15,-106
0,16,-6
0,17,-8
0,18,-101
0,19,-133
0,20,-23
0,21,-102
0,22,-8
0,23,-18
0,24,-9
0,25,-111
0,26,-17
0,27,-10
0,28,-106
0,29,-10
0,30,-6
0,31,-9
0,32,-102
0,33,-112
0,34,-126
0,35,-110
0,36,-26
0,37,-112
0,38,-141
0,39,-107
0,40,-111
0,41,-30
0,42,-118
0,43,-102
0,44,-7
0,45,-123
0,46,-28
0,47,-116
0,48,-8
0,49,-101
0,50,-7
0,51,-101
0,52,-24
0,53,-14
0,54,-7
0,55,-103
0,56,-12
0,57,-6
0,58,-8
0,59,-105
0,60,-104
0,61,-6
0,62,-9
0,63,-108
0,64,-107
0,65,-11
0,66,-9
0,67,-6
0,68,-108
0,69,-102
0,70,-6
0,71,-8
0,72,-103
0,73,-100
0,74,-8
0,75,-6
0,76,-26
0,77,-107
0,78,-152
0,79,-104
0,80,-124
0,81,-10
0,82,-6
0,83,-6
0,84,-6
0,85,-7
0,86,-6
0,87,-101
0,88,-7
0,89,-105
0,90,-6
0,91,-104
0,92,-8
0,93,-6
0,94,-6
0,95,-9
0,96,-6
0,97,-6
0,98,-6
0,99,-6
0,100,-6
0,101,-7
0,102,-6
0,103,-6
0,104,-6
0,105,-6
0,106,-13
0,107,-101
0,108,-84
0,109,-7
0,110,-6
0,111,-6
0,112,-7
0,113,-6
0,114,-6
0,115,-6
0,116,-10
0,117,-6
0,118,-6
0,119,-6
1,0,-120
1,1,-100
1,2,-110
1,3,-101
1,4,-101
1,5,-110
1,6,-104
1,7,-103
1,8,-106
1,9,-106
1,10,-14
1,11,-118
1,12,-18
1,13,-102
1,14,-105
1,15,-102
1,16,-118
1,17,-104
1,18,-104
1,19,-8
1,20,-110
1,21,-107
1,22,-111
1,23,-36
1,24,-124
1,25,-34
1,26,-117
1,27,-6
1,28,-103
1,29,-11
1,30,-108
1,31,-101
1,32,-104
1,33,-113
1,34,-18
1,35,-24
1,36,-23
1,37,-106
1,38,-104
1,39,-105
1,40,-136
1,41,-11
1,42,-15
1,43,-103
1,44,-115
1,45,-100
1,46,-6
1,47,-9
1,48,-7
1,49,-108
1,50,-7
1,51,-102
1,52,-130
1,53,-153
1,54,-113
1,55,-100
1,56,-26
1,57,-101
1,58,-114
1,59,-112
1,60,-103
1,61,-11
1,62,-6
1,63,-12
1,64,-7
1,65,-26
1,66,-104
1,67,-102
1,68,-108
1,69,-103
1,70,-101
